,Drug_ID,Protein_ID,label
0,DB00773,P23219,1
1,DB01242,P23975,1
2,DB01238,P08173,1
3,DB00338,P10635,1
4,DB01244,P05023,1
5,DB01745,P07477,1
6,DB01996,P08254,1
7,DB04800,P18031,1
8,DB08352,Q16539,1
9,DB00163,P21266,1
10,DB06777,P08684,1
11,DB01151,P10635,1
12,DB00356,P08684,1
13,DB01589,P34903,1
14,DB01272,P20645,1
15,DB01151,P33261,1
16,DB01076,P04035,1
17,DB08515,P49721,1
18,DB02401,P07195,1
19,DB01057,P06276,1
20,DB03286,P11217,1
21,DB08814,Q9Y233,1
22,DB00945,P23219,1
23,DB01809,P07949,1
24,DB04058,P15085,1
25,DB00570,Q9UJT1,1
26,DB02805,P07998,1
27,DB01355,P43681,1
28,DB00734,P08913,1
29,DB01708,Q9UN88,1
30,DB03981,Q9Y663,1
31,DB07124,P17612,1
32,DB08137,P24941,1
33,DB00143,P10768,1
34,DB00188,P28070,1
35,DB01520,Q13224,1
36,DB08355,P24941,1
37,DB01252,P37231,1
38,DB01215,P18507,1
39,DB01221,P41145,1
40,DB00922,Q14432,1
41,DB00586,P04798,1
42,DB00243,P08684,1
43,DB00054,P12318,1
44,DB05238,P15056,1
45,DB04335,P00491,1
46,DB05030,P35968,1
47,DB00231,P18507,1
48,DB00162,P00352,1
49,DB00988,P33261,1
50,DB01223,P05177,1
51,DB00255,P11712,1
52,DB01247,P21397,1
53,DB00564,P10632,1
54,DB04551,P30613,1
55,DB02056,P42330,1
56,DB08424,Q16539,1
57,DB05387,P08253,1
58,DB04405,P39900,1
59,DB01698,P10632,1
60,DB07616,O60760,1
61,DB01011,P11509,1
62,DB01074,P10635,1
63,DB00939,O43526,1
64,DB01587,O14764,1
65,DB00201,Q07343,1
66,DB04444,P30085,1
67,DB03501,P15291,1
68,DB09068,P20815,1
69,DB00753,P62158,1
70,DB01381,P14867,1
71,DB01820,P18031,1
72,DB03461,Q16698,1
73,DB08914,P06213,1
74,DB00139,Q8WWT9,1
75,DB00139,O14521,1
76,DB01167,P20815,1
77,DB04389,P49789,1
78,DB00201,Q08493,1
79,DB05079,P35367,1
80,DB08095,Q16539,1
81,DB05157,Q15759,1
82,DB02250,P61626,1
83,DB00820,P08684,1
84,DB05280,P35462,1
85,DB03152,P08100,1
86,DB07428,P68871,1
87,DB01156,P11712,1
88,DB05390,P41231,1
89,DB00108,P02745,1
90,DB01424,P10632,1
91,DB04216,P06576,1
92,DB08385,O00519,1
93,DB06147,P11511,1
94,DB01095,P10635,1
95,DB00114,P34896,1
96,DB00439,P08684,1
97,DB05096,Q14832,1
98,DB06637,Q9UK17,1
99,DB01085,P08172,1
100,DB03179,Q86VU5,1
101,DB06678,P28335,1
102,DB03088,P15692,1
103,DB03757,Q9UNI1,1
104,DB00854,P35372,1
105,DB00338,P33261,1
106,DB08697,P00749,1
107,DB00458,P23975,1
108,DB00945,Q04828,1
109,DB00812,P35354,1
110,DB07934,P00734,1
111,DB00613,P10632,1
112,DB00934,P18089,1
113,DB06605,P11712,1
114,DB00169,P11473,1
115,DB00575,P18089,1
116,DB07347,P04406,1
117,DB06016,P08908,1
118,DB06866,P00734,1
119,DB05207,P14778,1
120,DB01403,P35462,1
121,DB06858,P07477,1
122,DB00174,O43776,1
123,DB00155,P29475,1
124,DB06695,P54855,1
125,DB06678,P28223,1
126,DB00289,Q12879,1
127,DB01324,P55017,1
128,DB06944,P24941,1
129,DB00114,Q9NVS9,1
130,DB00157,O75306,1
131,DB00655,P08684,1
132,DB00852,P07550,1
133,DB00143,Q03013,1
134,DB00594,P19801,1
135,DB07680,P23946,1
136,DB00157,O95182,1
137,DB07388,P29474,1
138,DB00670,P11229,1
139,DB01207,P21731,1
140,DB00126,P19021,1
141,DB00734,P35367,1
142,DB00824,Q07343,1
143,DB00683,P20815,1
144,DB00661,O00305,1
145,DB00268,P28221,1
146,DB01708,O75469,1
147,DB01049,P78334,1
148,DB00849,P34903,1
149,DB01018,P18089,1
150,DB00313,P10632,1
151,DB00200,Q9BXJ7,1
152,DB04820,P27338,1
153,DB01622,P35348,1
154,DB01483,P14867,1
155,DB07701,P22303,1
156,DB07080,O75469,1
157,DB00157,P04035,1
158,DB00889,P20815,1
159,DB09053,P08684,1
160,DB07427,P69905,1
161,DB00830,Q01959,1
162,DB01049,P46098,1
163,DB02264,P05230,1
164,DB00825,Q8NET8,1
165,DB01122,P22303,1
166,DB04836,P23975,1
167,DB06216,P18825,1
168,DB07621,P11509,1
169,DB00197,P54855,1
170,DB03101,P00491,1
171,DB01151,P18089,1
172,DB06616,P08684,1
173,DB06931,O95749,1
174,DB04234,P43235,1
175,DB01011,P15538,1
176,DB00075,P02747,1
177,DB00540,P28223,1
178,DB01424,P24462,1
179,DB05290,P25101,1
180,DB08354,P68400,1
181,DB04855,O95069,1
182,DB08515,P25789,1
183,DB07107,P17612,1
184,DB07765,P0CG22,1
185,DB00371,Q9UN88,1
186,DB07468,Q7Z406,1
187,DB00343,P10635,1
188,DB00675,Q05655,1
189,DB03329,P07858,1
190,DB02638,P47901,1
191,DB04920,Q13698,1
192,DB01198,P08684,1
193,DB00729,P20309,1
194,DB00952,P28222,1
195,DB09082,P08684,1
196,DB00153,Q02318,1
197,DB00767,P20309,1
198,DB02400,P15559,1
199,DB03206,Q9UKM7,1
200,DB04530,Q99418,1
201,DB00583,P23786,1
202,DB07987,P08254,1
203,DB00176,P31645,1
204,DB07375,P06310,1
205,DB00031,P02671,1
206,DB00195,P07550,1
207,DB02010,P48736,1
208,DB05107,P11413,1
209,DB04147,P01595,1
210,DB01171,P11712,1
211,DB00087,P02746,1
212,DB01142,P08684,1
213,DB02640,P50579,1
214,DB01039,P08684,1
215,DB02648,P43155,1
216,DB00025,P07307,1
217,DB00496,P11229,1
218,DB08690,O14957,1
219,DB04464,P15954,1
220,DB00945,Q9Y478,1
221,DB09078,P35916,1
222,DB00996,Q9NY47,1
223,DB04871,P28335,1
224,DB00558,Q9Y3R4,1
225,DB01196,P11137,1
226,DB00482,P35354,1
227,DB00169,Q02318,1
228,DB00624,P04798,1
229,DB05736,P43235,1
230,DB00961,Q9Y5Y9,1
231,DB04395,P78362,1
232,DB08896,P20813,1
233,DB03461,Q92506,1
234,DB00835,P20309,1
235,DB01028,P34903,1
236,DB07401,O14949,1
237,DB00518,Q71U36,1
238,DB02325,P01375,1
239,DB04464,P09669,1
240,DB08800,P35367,1
241,DB00475,P14867,1
242,DB00520,P08684,1
243,DB00599,Q13002,1
244,DB01392,P28335,1
245,DB00540,P08684,1
246,DB04513,P62158,1
247,DB00540,P28335,1
248,DB01363,P18825,1
249,DB01393,P08684,1
250,DB02281,Q13126,1
251,DB01205,P28472,1
252,DB08164,P27487,1
253,DB01183,P03372,1
254,DB01268,P08684,1
255,DB08750,P35228,1
256,DB00197,Q9HAW7,1
257,DB00674,Q9GZZ6,1
258,DB03435,Q7Z4J2,1
259,DB00763,P11712,1
260,DB06097,Q02224,1
261,DB00642,P04818,1
262,DB01241,Q07869,1
263,DB00554,P35354,1
264,DB00126,Q02809,1
265,DB01234,P05108,1
266,DB00551,P39900,1
267,DB01251,Q15842,1
268,DB00333,Q8TCU5,1
269,DB00641,P11712,1
270,DB00321,P20309,1
271,DB04444,P11488,1
272,DB00949,P05181,1
273,DB01782,Q9UQF2,1
274,DB00721,Q01959,1
275,DB01159,Q6W5P4,1
276,DB06917,P09960,1
277,DB00470,P11509,1
278,DB07162,O60674,1
279,DB00408,P47898,1
280,DB02379,P01574,1
281,DB00637,P35367,1
282,DB01087,P08684,1
283,DB09068,P08908,1
284,DB00163,P09210,1
285,DB07157,P15086,1
286,DB00073,P12318,1
287,DB01094,P05177,1
288,DB01173,Q9Y5Y9,1
289,DB02325,O60942,1
290,DB02494,P84098,1
291,DB00162,Q9NYR8,1
292,DB00887,P13569,1
293,DB02236,P22102,1
294,DB00489,P07550,1
295,DB03149,P23946,1
296,DB07330,P09874,1
297,DB00549,P23219,1
298,DB00019,P08246,1
299,DB01189,P47869,1
300,DB05676,P01579,1
301,DB07479,P06746,1
302,DB00078,P31994,1
303,DB01363,P07550,1
304,DB01403,P35368,1
305,DB00364,P02671,1
306,DB00898,P17787,1
307,DB05472,P17181,1
308,DB00418,P14867,1
309,DB02079,P21549,1
310,DB02701,P10635,1
311,DB03039,P00918,1
312,DB01226,P08172,1
313,DB00232,P00915,1
314,DB02325,P30793,1
315,DB00169,P08684,1
316,DB05816,P21728,1
317,DB07230,Q15788,1
318,DB00171,O14727,1
319,DB01065,P05177,1
320,DB00356,Q12791,1
321,DB01277,P17936,1
322,DB01727,Q99798,1
323,DB00978,P05177,1
324,DB00564,P08684,1
325,DB03253,P27487,1
326,DB08674,P49356,1
327,DB02342,P21964,1
328,DB00909,O60939,1
329,DB02701,P00338,1
330,DB05435,Q5NUL3,1
331,DB08342,Q9Y5R8,1
332,DB09570,P33261,1
333,DB00458,P35367,1
334,DB01149,P20815,1
335,DB05469,P35368,1
336,DB07410,O95749,1
337,DB00201,Q14573,1
338,DB00152,O60779,1
339,DB01289,Q15842,1
340,DB01221,P11712,1
341,DB05295,P11473,1
342,DB00398,P10635,1
343,DB00531,P08684,1
344,DB00973,P08684,1
345,DB00724,Q9NR97,1
346,DB00977,P03372,1
347,DB08289,P01834,1
348,DB03680,P23368,1
349,DB00926,P48443,1
350,DB01411,P05113,1
351,DB03721,Q9BZZ2,1
352,DB00831,P05177,1
353,DB00849,P42262,1
354,DB06738,O60656,1
355,DB01159,P18505,1
356,DB00895,P12319,1
357,DB01236,P47869,1
358,DB08818,Q96S86,1
359,DB02379,P05162,1
360,DB00139,O60568,1
361,DB01049,O95264,1
362,DB00328,P16662,1
363,DB04880,Q14432,1
364,DB08437,P62917,1
365,DB00171,Q9NUB1,1
366,DB03535,P48147,1
367,DB07374,P40429,1
368,DB06064,Q02156,1
369,DB00788,P10632,1
370,DB08892,O75899,1
371,DB00744,P11712,1
372,DB00484,P18825,1
373,DB00157,P48163,1
374,DB01589,P14867,1
375,DB00734,P35348,1
376,DB06707,P23975,1
377,DB00091,P30405,1
378,DB00480,Q96SW2,1
379,DB03193,Q9UNK4,1
380,DB03147,P47989,1
381,DB00546,P34903,1
382,DB01009,P35354,1
383,DB05461,P41595,1
384,DB01173,P08684,1
385,DB01095,P05177,1
386,DB03907,P21964,1
387,DB00692,P08913,1
388,DB05920,P11388,1
389,DB07232,P09874,1
390,DB01370,P02787,1
391,DB00696,P35368,1
392,DB00589,P14416,1
393,DB00248,P08908,1
394,DB01136,P08684,1
395,DB04195,P11217,1
396,DB04316,P15085,1
397,DB05694,P30968,1
398,DB06891,P00918,1
399,DB00013,Q03405,1
400,DB01392,P10635,1
401,DB00753,P18507,1
402,DB06697,P20813,1
403,DB00818,P34903,1
404,DB01231,P11229,1
405,DB08491,P03956,1
406,DB00989,P10635,1
407,DB08231,O43617,1
408,DB01645,Q92731,1
409,DB01559,A8MPY1,1
410,DB01174,P05181,1
411,DB01562,P10635,1
412,DB05168,P15328,1
413,DB07974,P00742,1
414,DB03127,Q92876,1
415,DB06969,P07900,1
416,DB06854,P00734,1
417,DB04905,P10635,1
418,DB01221,P11229,1
419,DB08325,Q12866,1
420,DB00933,P28223,1
421,DB00703,P43166,1
422,DB01242,P28223,1
423,DB04464,P29377,1
424,DB08065,O14965,1
425,DB05025,P00441,1
426,DB00186,Q8N1C3,1
427,DB01077,Q13332,1
428,DB03791,P55055,1
429,DB01118,Q9NY47,1
430,DB00197,P20813,1
431,DB00148,P17540,1
432,DB07274,P35968,1
433,DB00988,P11712,1
434,DB07737,P56817,1
435,DB00142,Q9Y646,1
436,DB00408,P08588,1
437,DB01361,P11712,1
438,DB06756,P06276,1
439,DB06980,P63208,1
440,DB03267,P35558,1
441,DB05115,P06213,1
442,DB01165,P05177,1
443,DB01238,P24462,1
444,DB08148,P61925,1
445,DB03935,P08758,1
446,DB01118,P11509,1
447,DB08042,P35968,1
448,DB00783,P03372,1
449,DB01551,P08684,1
450,DB01054,P20815,1
451,DB00325,P04798,1
452,DB01185,P10275,1
453,DB04922,P54289,1
454,DB00898,P42262,1
455,DB00112,P02746,1
456,DB00458,P50406,1
457,DB00197,P11474,1
458,DB04132,Q04760,1
459,DB00334,Q9H3N8,1
460,DB01708,P18505,1
461,DB05014,P09619,1
462,DB02910,P42126,1
463,DB00228,Q99928,1
464,DB00413,P21917,1
465,DB06292,P11712,1
466,DB00584,P08684,1
467,DB00543,P20309,1
468,DB04845,P08684,1
469,DB06228,P51589,1
470,DB01591,P08912,1
471,DB01437,P18505,1
472,DB05075,P35916,1
473,DB05311,P03952,1
474,DB04476,P80188,1
475,DB00334,P13945,1
476,DB00157,P00367,1
477,DB02696,P15291,1
478,DB06204,P10635,1
479,DB00514,P17787,1
480,DB01186,P35348,1
481,DB00904,P11712,1
482,DB00408,P20309,1
483,DB01807,Q16539,1
484,DB08322,P11217,1
485,DB00145,Q14330,1
486,DB07712,P03372,1
487,DB03070,P12268,1
488,DB00916,Q16850,1
489,DB00700,P08684,1
490,DB01065,Q92753,1
491,DB00917,P11511,1
492,DB00532,P11712,1
493,DB02490,P06732,1
494,DB00139,O14756,1
495,DB06741,Q8TCU5,1
496,DB06603,Q9BY41,1
497,DB00758,P05177,1
498,DB00837,Q9UBS5,1
499,DB01631,P80188,1
500,DB01159,Q12791,1
501,DB02691,P51161,1
502,DB03147,Q9UHQ9,1
503,DB00463,Q13002,1
504,DB00036,P38435,1
505,DB00311,P00918,1
506,DB00711,P09917,1
507,DB01359,P08588,1
508,DB00334,P28221,1
509,DB00363,P18825,1
510,DB07456,O15530,1
511,DB00398,P36888,1
512,DB01026,P05108,1
513,DB08403,P22894,1
514,DB00637,P08684,1
515,DB00542,P42898,1
516,DB00818,P10632,1
517,DB00268,P21918,1
518,DB01015,P11712,1
519,DB00613,P11712,1
520,DB03080,P07900,1
521,DB01283,P35354,1
522,DB06637,Q16322,1
523,DB01325,P00915,1
524,DB04912,P09601,1
525,DB00364,P01133,1
526,DB01033,Q06203,1
527,DB03670,P18031,1
528,DB01204,P05181,1
529,DB00363,P14416,1
530,DB07471,P24941,1
531,DB07106,P50135,1
532,DB00039,P21802,1
533,DB00192,Q14524,1
534,DB00201,O00408,1
535,DB01221,Q8TCU5,1
536,DB00611,P41145,1
537,DB00250,P23219,1
538,DB00343,Q06432,1
539,DB00111,P31995,1
540,DB07048,P00918,1
541,DB00687,P04150,1
542,DB01884,P27487,1
543,DB03159,P07477,1
544,DB01418,Q9BQB6,1
545,DB01183,P41143,1
546,DB01028,P11509,1
