,Drug1_ID,Drug2_ID,label
0,DB00862,DB00966,1
1,DB01151,DB08883,1
2,DB01235,DB01275,1
3,DB00018,DB00333,1
4,DB00201,DB01609,1
5,DB01576,DB04842,1
6,DB01609,DB06212,1
7,DB01232,DB09291,1
8,DB00382,DB06153,1
9,DB01017,DB01142,1
10,DB00214,DB01174,1
11,DB00104,DB00908,1
12,DB00569,DB01109,1
13,DB01222,DB09063,1
14,DB00898,DB01589,1
15,DB00762,DB09054,1
16,DB00780,DB01158,1
17,DB00186,DB09071,1
18,DB01248,DB06688,1
19,DB00484,DB00881,1
20,DB00396,DB00682,1
21,DB00368,DB01551,1
22,DB00054,DB00605,1
23,DB00921,DB09272,1
24,DB01026,DB08865,1
25,DB00041,DB00381,1
26,DB00673,DB08918,1
27,DB01167,DB01215,1
28,DB01100,DB06201,1
29,DB08883,DB09072,1
30,DB00983,DB01223,1
31,DB00865,DB01623,1
32,DB00422,DB00876,1
33,DB00997,DB04905,1
34,DB00177,DB09401,1
35,DB01268,DB01394,1
36,DB00623,DB00656,1
37,DB00834,DB09039,1
38,DB00675,DB05812,1
39,DB00401,DB09059,1
40,DB00625,DB00956,1
41,DB00624,DB00834,1
42,DB00780,DB00918,1
43,DB00070,DB01222,1
44,DB01104,DB01296,1
45,DB00443,DB00672,1
46,DB01207,DB06228,1
47,DB00618,DB09146,1
48,DB01166,DB06636,1
49,DB00108,DB01234,1
50,DB09118,DB09128,1
51,DB08873,DB08881,1
52,DB00397,DB00983,1
53,DB00126,DB00717,1
54,DB00243,DB08889,1
55,DB01151,DB09072,1
56,DB00367,DB01124,1
57,DB00238,DB01319,1
58,DB00182,DB00816,1
59,DB00328,DB04272,1
60,DB01207,DB08976,1
61,DB00257,DB01100,1
62,DB00715,DB01268,1
63,DB01036,DB06290,1
64,DB01201,DB09068,1
65,DB00418,DB01054,1
66,DB01233,DB01238,1
67,DB01184,DB09065,1
68,DB04855,DB09053,1
69,DB00501,DB01142,1
70,DB00337,DB01181,1
71,DB00046,DB00957,1
72,DB00366,DB00470,1
73,DB00816,DB00871,1
74,DB01100,DB01319,1
75,DB01029,DB08935,1
76,DB00864,DB01320,1
77,DB00252,DB01026,1
78,DB01167,DB09102,1
79,DB01151,DB05271,1
80,DB00046,DB09043,1
81,DB00470,DB00752,1
82,DB04938,DB09063,1
83,DB00420,DB00934,1
84,DB00451,DB09407,1
85,DB00741,DB01306,1
86,DB00864,DB00991,1
87,DB00960,DB01119,1
88,DB00737,DB06204,1
89,DB00195,DB00237,1
90,DB00798,DB01163,1
91,DB01323,DB06789,1
92,DB00273,DB06282,1
93,DB00802,DB01021,1
94,DB00784,DB00790,1
95,DB00673,DB08912,1
96,DB01038,DB01577,1
97,DB00310,DB00391,1
98,DB01023,DB01235,1
99,DB00898,DB01100,1
100,DB00408,DB00952,1
101,DB00571,DB08881,1
102,DB00252,DB00903,1
103,DB00657,DB01145,1
104,DB00031,DB06779,1
105,DB00508,DB00514,1
106,DB00188,DB09118,1
107,DB00834,DB01115,1
108,DB00796,DB01119,1
109,DB01418,DB08816,1
110,DB00208,DB06271,1
111,DB00820,DB00999,1
112,DB00687,DB06335,1
113,DB00196,DB00338,1
114,DB00794,DB00921,1
115,DB01167,DB09143,1
116,DB00029,DB06605,1
117,DB04946,DB09072,1
118,DB01174,DB08864,1
119,DB00715,DB00754,1
120,DB06287,DB09054,1
121,DB00880,DB01016,1
122,DB00479,DB00535,1
123,DB00569,DB08976,1
124,DB00422,DB00502,1
125,DB00752,DB00937,1
126,DB00343,DB00794,1
127,DB00450,DB09271,1
128,DB00409,DB06684,1
129,DB00327,DB01247,1
130,DB00611,DB00972,1
131,DB00706,DB01012,1
132,DB00108,DB04572,1
133,DB00069,DB00495,1
134,DB00384,DB09242,1
135,DB00408,DB01403,1
136,DB00280,DB06717,1
137,DB00312,DB00796,1
138,DB01167,DB06218,1
139,DB00374,DB00700,1
140,DB00136,DB06290,1
141,DB00715,DB00950,1
142,DB00625,DB00813,1
143,DB00726,DB01560,1
144,DB00078,DB00605,1
145,DB01576,DB01618,1
146,DB00069,DB04817,1
147,DB00875,DB09068,1
148,DB01062,DB01072,1
149,DB00452,DB01150,1
150,DB01201,DB08882,1
151,DB00384,DB00652,1
152,DB00182,DB00321,1
153,DB00705,DB09068,1
154,DB00830,DB01274,1
155,DB00420,DB01037,1
156,DB00790,DB00814,1
157,DB01158,DB09063,1
158,DB00741,DB04876,1
159,DB00679,DB01075,1
160,DB01229,DB08895,1
161,DB00209,DB04924,1
162,DB01600,DB01609,1
163,DB00608,DB00612,1
164,DB00641,DB09036,1
165,DB01251,DB09564,1
166,DB00714,DB00834,1
167,DB00177,DB01109,1
168,DB00363,DB01238,1
169,DB00472,DB00765,1
170,DB01556,DB09080,1
171,DB00682,DB04855,1
172,DB00808,DB00930,1
173,DB01211,DB06287,1
174,DB00820,DB00932,1
175,DB00554,DB03619,1
176,DB00559,DB00608,1
177,DB01167,DB01224,1
178,DB01021,DB01591,1
179,DB00177,DB00876,1
180,DB00661,DB01319,1
181,DB00486,DB00593,1
182,DB00924,DB05812,1
183,DB00300,DB00573,1
184,DB00215,DB01184,1
185,DB00543,DB00715,1
186,DB08933,DB09039,1
187,DB00220,DB06218,1
188,DB00904,DB09068,1
189,DB09272,DB09300,1
190,DB00289,DB00932,1
191,DB00573,DB00974,1
192,DB00457,DB00668,1
193,DB06273,DB06616,1
194,DB00490,DB01045,1
195,DB00559,DB09071,1
196,DB00524,DB00776,1
197,DB00736,DB04868,1
198,DB01247,DB09272,1
199,DB00176,DB09071,1
200,DB00909,DB02703,1
201,DB00997,DB09118,1
202,DB00454,DB01624,1
203,DB00258,DB00393,1
204,DB00480,DB09033,1
205,DB00472,DB09042,1
206,DB00035,DB00741,1
207,DB00181,DB00726,1
208,DB00540,DB00653,1
209,DB00872,DB01072,1
210,DB01254,DB08912,1
211,DB00648,DB01023,1
212,DB01609,DB04938,1
213,DB00268,DB00690,1
214,DB00231,DB00333,1
215,DB01254,DB01390,1
216,DB00252,DB01264,1
217,DB00541,DB00564,1
218,DB00499,DB09277,1
219,DB00390,DB06715,1
220,DB00623,DB00989,1
221,DB01172,DB01604,1
222,DB00541,DB09118,1
223,DB00425,DB00628,1
224,DB06273,DB08910,1
225,DB00285,DB04842,1
226,DB00540,DB06704,1
227,DB00404,DB00972,1
228,DB04841,DB09104,1
229,DB00494,DB00715,1
230,DB00946,DB06441,1
231,DB01590,DB09102,1
232,DB01126,DB01264,1
233,DB01120,DB01169,1
234,DB00046,DB09128,1
235,DB00091,DB06589,1
236,DB00677,DB01049,1
237,DB00215,DB00871,1
238,DB01023,DB09407,1
239,DB00015,DB08794,1
240,DB00498,DB09539,1
241,DB00867,DB00945,1
242,DB00796,DB00806,1
243,DB00250,DB01015,1
244,DB00072,DB00515,1
245,DB00401,DB00692,1
246,DB00399,DB00798,1
247,DB00528,DB01377,1
248,DB00263,DB00393,1
249,DB00370,DB00484,1
250,DB00675,DB04938,1
251,DB00181,DB00611,1
252,DB00752,DB09038,1
253,DB00794,DB01203,1
254,DB00477,DB01037,1
255,DB00224,DB00897,1
256,DB00295,DB01203,1
257,DB00252,DB00564,1
258,DB00946,DB01600,1
259,DB00945,DB09564,1
260,DB00401,DB08873,1
261,DB00497,DB09042,1
262,DB00401,DB08899,1
263,DB00215,DB00358,1
264,DB00477,DB06700,1
265,DB00484,DB08815,1
266,DB00661,DB04905,1
267,DB00864,DB01016,1
268,DB00503,DB08914,1
269,DB01129,DB06695,1
270,DB00363,DB00656,1
271,DB00231,DB08883,1
272,DB04905,DB06695,1
273,DB00541,DB01234,1
274,DB01132,DB01398,1
275,DB00687,DB01208,1
276,DB00366,DB06690,1
277,DB00014,DB00204,1
278,DB00327,DB00484,1
279,DB00041,DB06781,1
280,DB06684,DB09065,1
281,DB00193,DB00344,1
282,DB01029,DB01392,1
283,DB00502,DB09073,1
284,DB01142,DB01239,1
285,DB00794,DB01197,1
286,DB01167,DB08864,1
287,DB00363,DB00414,1
288,DB00684,DB00887,1
289,DB00307,DB06335,1
290,DB00248,DB06707,1
291,DB00559,DB01241,1
292,DB00752,DB06698,1
293,DB00191,DB00295,1
294,DB00794,DB06212,1
295,DB00752,DB00831,1
296,DB00714,DB00904,1
297,DB00196,DB00401,1
298,DB00366,DB00434,1
299,DB00974,DB06209,1
300,DB00618,DB09267,1
301,DB01016,DB01119,1
302,DB04868,DB09073,1
303,DB00780,DB01247,1
304,DB01171,DB04884,1
305,DB00557,DB00761,1
306,DB00916,DB04339,1
307,DB00598,DB00794,1
308,DB00335,DB01354,1
309,DB00091,DB00126,1
310,DB00083,DB06696,1
311,DB00695,DB00802,1
312,DB01201,DB04845,1
313,DB00007,DB01124,1
314,DB00794,DB08901,1
315,DB00029,DB09068,1
316,DB00051,DB00337,1
317,DB00320,DB00409,1
318,DB00454,DB00898,1
319,DB00366,DB00761,1
320,DB01167,DB08901,1
321,DB06288,DB09042,1
322,DB01095,DB01118,1
323,DB00794,DB00903,1
324,DB01223,DB09273,1
325,DB00450,DB09128,1
326,DB06207,DB06273,1
327,DB00332,DB00782,1
328,DB00333,DB00413,1
329,DB00300,DB00784,1
330,DB00908,DB09048,1
331,DB00220,DB00499,1
332,DB00862,DB00883,1
333,DB01178,DB09097,1
334,DB00307,DB00675,1
335,DB00246,DB00834,1
336,DB00980,DB05521,1
337,DB00313,DB00358,1
