,Drug1_ID,Drug2_ID,label
0,DB00862,DB00966,1
1,DB01151,DB08883,1
2,DB00018,DB00333,1
3,DB00712,DB01418,1
4,DB01609,DB06212,1
5,DB00382,DB06153,1
6,DB00214,DB01174,1
7,DB00104,DB00908,1
8,DB00569,DB01109,1
9,DB01222,DB09063,1
10,DB00898,DB01589,1
11,DB00762,DB09054,1
12,DB00780,DB01158,1
13,DB01248,DB06688,1
14,DB00484,DB00881,1
15,DB00396,DB00682,1
16,DB00054,DB00605,1
17,DB01320,DB09061,1
18,DB01167,DB01320,1
19,DB00186,DB00572,1
20,DB00921,DB09272,1
21,DB00999,DB01114,1
22,DB01242,DB09042,1
23,DB01167,DB01215,1
24,DB00072,DB00305,1
25,DB08883,DB09072,1
26,DB00865,DB01623,1
27,DB00211,DB00316,1
28,DB00422,DB00876,1
29,DB00177,DB09401,1
30,DB01211,DB01215,1
31,DB00603,DB01418,1
32,DB00623,DB00656,1
33,DB00834,DB09039,1
34,DB00675,DB05812,1
35,DB00215,DB00420,1
36,DB00401,DB09059,1
37,DB00625,DB00956,1
38,DB00780,DB00918,1
39,DB00070,DB01222,1
40,DB01104,DB01296,1
41,DB00443,DB00672,1
42,DB01207,DB06228,1
43,DB00252,DB01182,1
44,DB01166,DB06636,1
45,DB00108,DB01234,1
46,DB09118,DB09128,1
47,DB00413,DB00972,1
48,DB08873,DB08881,1
49,DB00397,DB00983,1
50,DB00503,DB00758,1
51,DB00243,DB08889,1
52,DB00503,DB00813,1
53,DB01151,DB09072,1
54,DB00367,DB01124,1
55,DB00182,DB00816,1
56,DB00328,DB04272,1
57,DB00502,DB01367,1
58,DB00257,DB01100,1
59,DB00715,DB01268,1
60,DB01036,DB06290,1
61,DB01201,DB09068,1
62,DB01233,DB01238,1
63,DB01184,DB09065,1
64,DB00204,DB00887,1
65,DB04855,DB09053,1
66,DB00482,DB06779,1
67,DB00501,DB01142,1
68,DB00046,DB00957,1
69,DB00816,DB00871,1
70,DB00542,DB09282,1
71,DB00959,DB08873,1
72,DB01021,DB06203,1
73,DB06480,DB09123,1
74,DB01259,DB04905,1
75,DB00252,DB01026,1
76,DB01151,DB05271,1
77,DB00628,DB00653,1
78,DB04905,DB08931,1
79,DB04938,DB09063,1
80,DB00420,DB00934,1
81,DB00451,DB09407,1
82,DB00864,DB00991,1
83,DB00960,DB01119,1
84,DB00737,DB06204,1
85,DB00195,DB00237,1
86,DB00798,DB01163,1
87,DB00401,DB00648,1
88,DB01323,DB06789,1
89,DB00273,DB06282,1
90,DB00802,DB01021,1
91,DB00673,DB08912,1
92,DB01038,DB01577,1
93,DB01023,DB01235,1
94,DB00898,DB01100,1
95,DB00334,DB01553,1
96,DB00912,DB01403,1
97,DB00571,DB08881,1
98,DB00054,DB01395,1
99,DB00232,DB00237,1
100,DB00508,DB00514,1
101,DB00188,DB09118,1
102,DB00959,DB09220,1
103,DB00796,DB01119,1
104,DB00752,DB01276,1
105,DB00208,DB06271,1
106,DB00820,DB00999,1
107,DB00196,DB00338,1
108,DB01167,DB09143,1
109,DB00029,DB06605,1
110,DB04946,DB09072,1
111,DB01174,DB08864,1
112,DB00715,DB00754,1
113,DB06287,DB09054,1
114,DB00688,DB08795,1
115,DB00569,DB08976,1
116,DB00422,DB00502,1
117,DB00752,DB00937,1
118,DB06772,DB09063,1
119,DB00682,DB06695,1
120,DB00343,DB00794,1
121,DB00390,DB00500,1
122,DB00450,DB09271,1
123,DB00409,DB06684,1
124,DB00706,DB01012,1
125,DB00069,DB00495,1
126,DB00384,DB09242,1
127,DB00408,DB01403,1
128,DB00280,DB06717,1
129,DB01167,DB06218,1
130,DB00374,DB00700,1
131,DB00625,DB00813,1
132,DB00078,DB00605,1
133,DB00069,DB04817,1
134,DB00540,DB06144,1
135,DB00452,DB01150,1
136,DB00384,DB00652,1
137,DB00705,DB09068,1
138,DB00420,DB01037,1
139,DB00790,DB00814,1
140,DB01158,DB09063,1
141,DB00220,DB01320,1
142,DB00741,DB04876,1
143,DB01229,DB08895,1
144,DB00209,DB04924,1
145,DB00410,DB09268,1
146,DB00888,DB01656,1
147,DB01009,DB09026,1
148,DB00188,DB00736,1
149,DB01600,DB01609,1
150,DB00056,DB08895,1
151,DB00608,DB00612,1
152,DB00641,DB09036,1
153,DB00714,DB00834,1
154,DB00177,DB01109,1
155,DB00363,DB01238,1
156,DB00472,DB00765,1
157,DB01556,DB09080,1
158,DB00682,DB04855,1
159,DB01120,DB01601,1
160,DB01201,DB06684,1
161,DB00808,DB00930,1
162,DB01021,DB01591,1
163,DB00177,DB00876,1
164,DB00675,DB01156,1
165,DB00857,DB04861,1
166,DB00661,DB01319,1
167,DB00486,DB00593,1
168,DB00924,DB05812,1
169,DB00215,DB01184,1
170,DB08933,DB09039,1
171,DB00220,DB06218,1
172,DB00289,DB00932,1
173,DB00573,DB00974,1
174,DB00457,DB00668,1
175,DB00490,DB01045,1
176,DB00559,DB09071,1
177,DB00524,DB00776,1
178,DB00736,DB04868,1
179,DB00206,DB09242,1
180,DB00909,DB02703,1
181,DB00997,DB09118,1
182,DB00201,DB06704,1
183,DB00454,DB01624,1
184,DB00258,DB00393,1
185,DB00480,DB09033,1
186,DB00653,DB00842,1
187,DB01033,DB01656,1
188,DB00472,DB09042,1
189,DB00035,DB00741,1
190,DB00181,DB00726,1
191,DB00311,DB00611,1
192,DB00540,DB00653,1
193,DB01254,DB08912,1
194,DB01032,DB01059,1
195,DB00648,DB01023,1
196,DB00683,DB01026,1
197,DB01609,DB04938,1
198,DB00231,DB00333,1
199,DB00046,DB01200,1
200,DB00252,DB01264,1
201,DB00499,DB09277,1
202,DB00390,DB06715,1
203,DB00623,DB00989,1
204,DB01175,DB06271,1
205,DB00541,DB09118,1
206,DB06273,DB08910,1
207,DB00285,DB04842,1
208,DB00540,DB06704,1
209,DB00494,DB00715,1
210,DB00946,DB06441,1
211,DB00379,DB00980,1
212,DB00633,DB01353,1
213,DB00312,DB01214,1
214,DB00046,DB09128,1
215,DB00091,DB06589,1
216,DB00455,DB04924,1
217,DB00677,DB01049,1
218,DB06203,DB06719,1
219,DB00215,DB00871,1
220,DB01023,DB09407,1
221,DB00015,DB08794,1
222,DB00635,DB00956,1
223,DB00498,DB09539,1
224,DB00398,DB09065,1
225,DB00867,DB00945,1
226,DB00796,DB00806,1
227,DB00250,DB01015,1
228,DB00072,DB00515,1
229,DB00401,DB00692,1
230,DB00528,DB01377,1
231,DB00653,DB01068,1
232,DB00370,DB00484,1
233,DB00675,DB04938,1
234,DB00916,DB01418,1
235,DB00181,DB00611,1
236,DB00328,DB00452,1
237,DB00408,DB00865,1
238,DB00752,DB09038,1
239,DB00477,DB01037,1
240,DB00224,DB00897,1
241,DB00295,DB01203,1
242,DB00252,DB00564,1
243,DB00946,DB01600,1
244,DB01104,DB04272,1
245,DB00707,DB05239,1
246,DB00401,DB08899,1
247,DB00477,DB06700,1
248,DB00484,DB08815,1
249,DB00661,DB04905,1
250,DB00391,DB01104,1
251,DB00503,DB08914,1
252,DB01129,DB06695,1
253,DB00363,DB00656,1
254,DB00231,DB08883,1
255,DB00541,DB01234,1
256,DB01132,DB01398,1
257,DB00687,DB01208,1
258,DB00366,DB06690,1
259,DB00014,DB00204,1
260,DB00327,DB00484,1
261,DB06684,DB09065,1
262,DB00193,DB00344,1
263,DB00502,DB09073,1
264,DB01142,DB01239,1
265,DB01167,DB08864,1
266,DB00363,DB00414,1
267,DB00684,DB00887,1
268,DB00248,DB06707,1
269,DB00559,DB01241,1
270,DB00752,DB06698,1
271,DB00191,DB00295,1
272,DB00752,DB00831,1
273,DB00598,DB06707,1
274,DB00237,DB01427,1
275,DB00714,DB00904,1
276,DB00312,DB00742,1
277,DB00196,DB00401,1
278,DB00761,DB00950,1
279,DB00366,DB00434,1
280,DB01016,DB01119,1
281,DB04868,DB09073,1
282,DB00780,DB01247,1
283,DB00557,DB00761,1
284,DB00916,DB04339,1
285,DB00598,DB00794,1
286,DB00335,DB01354,1
287,DB00091,DB00126,1
288,DB00083,DB06696,1
289,DB01201,DB04845,1
290,DB04845,DB09063,1
291,DB00007,DB01124,1
292,DB00794,DB08901,1
293,DB00266,DB01241,1
294,DB00029,DB09068,1
295,DB00051,DB00337,1
296,DB00604,DB09054,1
297,DB00366,DB00761,1
298,DB01167,DB08901,1
299,DB06288,DB09042,1
300,DB01095,DB01118,1
301,DB00794,DB00903,1
302,DB01223,DB09273,1
303,DB00450,DB09128,1
304,DB06207,DB06273,1
305,DB01278,DB01409,1
306,DB00332,DB00782,1
307,DB00333,DB00413,1
308,DB00425,DB01100,1
309,DB00722,DB11354,1
310,DB00752,DB01224,1
311,DB06706,DB09042,1
312,DB00220,DB00499,1
313,DB01178,DB09097,1
314,DB00307,DB00675,1
315,DB00313,DB00358,1
316,DB00732,DB00908,1
317,DB00794,DB06697,1
318,DB00304,DB03880,1
319,DB01120,DB09046,1
320,DB00215,DB00686,1
321,DB01151,DB01182,1
322,DB00924,DB06144,1
323,DB01600,DB08794,1
324,DB01253,DB09118,1
325,DB00264,DB00622,1
326,DB00322,DB00682,1
327,DB00337,DB06287,1
328,DB00440,DB00542,1
329,DB00014,DB01601,1
330,DB00220,DB09547,1
331,DB00625,DB06414,1
332,DB00820,DB01197,1
333,DB01001,DB01365,1
334,DB00104,DB01018,1
335,DB00188,DB01087,1
336,DB00370,DB00555,1
337,DB01612,DB09112,1
