,Drug1_ID,Drug2_ID,label
0,DB00575,DB00806,1
1,DB01235,DB01275,1
2,DB00018,DB00333,1
3,DB00201,DB01609,1
4,DB00712,DB01418,1
5,DB01576,DB04842,1
6,DB01017,DB01142,1
7,DB00214,DB01174,1
8,DB00104,DB00908,1
9,DB00569,DB01109,1
10,DB01222,DB09063,1
11,DB00898,DB01589,1
12,DB00762,DB09054,1
13,DB00780,DB01158,1
14,DB00186,DB09071,1
15,DB01248,DB06688,1
16,DB00484,DB00881,1
17,DB00368,DB01551,1
18,DB00054,DB00605,1
19,DB01320,DB09061,1
20,DB01167,DB01320,1
21,DB00186,DB00572,1
22,DB00921,DB09272,1
23,DB00041,DB00381,1
24,DB00717,DB06404,1
25,DB01167,DB01215,1
26,DB01100,DB06201,1
27,DB01095,DB01393,1
28,DB08883,DB09072,1
29,DB00865,DB01623,1
30,DB00211,DB00316,1
31,DB00422,DB00876,1
32,DB00997,DB04905,1
33,DB00177,DB09401,1
34,DB01211,DB01215,1
35,DB01268,DB01394,1
36,DB00623,DB00656,1
37,DB00834,DB09039,1
38,DB00675,DB05812,1
39,DB00215,DB00420,1
40,DB00624,DB00834,1
41,DB00780,DB00918,1
42,DB00070,DB01222,1
43,DB01104,DB01296,1
44,DB00390,DB00986,1
45,DB01207,DB06228,1
46,DB00618,DB09146,1
47,DB00108,DB01234,1
48,DB09118,DB09128,1
49,DB00413,DB00972,1
50,DB08873,DB08881,1
51,DB00397,DB00983,1
52,DB00503,DB00758,1
53,DB00126,DB00717,1
54,DB00243,DB08889,1
55,DB01151,DB09072,1
56,DB00367,DB01124,1
57,DB00182,DB00816,1
58,DB00328,DB04272,1
59,DB00715,DB01268,1
60,DB01036,DB06290,1
61,DB01201,DB09068,1
62,DB01233,DB01238,1
63,DB01184,DB09065,1
64,DB00204,DB00887,1
65,DB04855,DB09053,1
66,DB00501,DB01142,1
67,DB00337,DB01181,1
68,DB00366,DB00470,1
69,DB00816,DB00871,1
70,DB00542,DB09282,1
71,DB01224,DB04876,1
72,DB06480,DB09123,1
73,DB00582,DB00622,1
74,DB00864,DB01320,1
75,DB00252,DB01026,1
76,DB01151,DB05271,1
77,DB00046,DB09043,1
