,Drug_ID,Protein_ID,label
0,DB02721,P00325,1
1,DB07138,Q16539,1
2,DB08136,P24941,1
3,DB00186,P48169,1
4,DB00338,P10635,1
5,DB01151,P08913,1
6,DB01244,P05023,1
7,DB01745,P07477,1
8,DB01996,P08254,1
9,DB08352,Q16539,1
10,DB00163,P21266,1
11,DB06777,P08684,1
12,DB00356,P08684,1
13,DB01589,P34903,1
14,DB01272,P20645,1
15,DB01151,P33261,1
16,DB01076,P04035,1
17,DB00605,Q03181,1
18,DB02401,P07195,1
19,DB03286,P11217,1
20,DB08814,Q9Y233,1
21,DB00945,P23219,1
22,DB01809,P07949,1
23,DB01352,Q16445,1
24,DB00185,P10635,1
25,DB01708,Q14957,1
26,DB04058,P15085,1
27,DB01355,P43681,1
28,DB00734,P08913,1
29,DB01708,Q9UN88,1
30,DB03981,Q9Y663,1
31,DB07124,P17612,1
32,DB08137,P24941,1
33,DB00143,P10768,1
34,DB00102,P16234,1
35,DB00188,P28070,1
36,DB00533,P23219,1
37,DB01520,Q13224,1
38,DB08355,P24941,1
39,DB01252,P37231,1
40,DB01221,P41145,1
41,DB00922,Q14432,1
42,DB00243,P08684,1
43,DB00054,P12318,1
44,DB00051,P31994,1
45,DB05238,P15056,1
46,DB05030,P35968,1
47,DB00162,P00352,1
48,DB00988,P33261,1
49,DB00373,P08588,1
50,DB00255,P11712,1
51,DB00564,P10632,1
52,DB04551,P30613,1
53,DB08424,Q16539,1
54,DB05387,P08253,1
55,DB03865,P05981,1
56,DB04405,P39900,1
57,DB04322,P11586,1
58,DB01357,P03372,1
59,DB07616,O60760,1
60,DB01074,P10635,1
61,DB00475,P48169,1
62,DB00939,O43526,1
63,DB00518,P04798,1
64,DB04444,P30085,1
65,DB03501,P15291,1
66,DB01820,P18031,1
67,DB03461,Q16698,1
68,DB00836,P62158,1
69,DB08914,P06213,1
70,DB00116,P13995,1
71,DB00139,Q8WWT9,1
72,DB00114,Q6P996,1
73,DB07034,O14757,1
74,DB00328,Q9Y5Y4,1
75,DB00201,Q08493,1
76,DB00515,P02795,1
77,DB08095,Q16539,1
78,DB00993,P00492,1
79,DB05157,Q15759,1
80,DB02250,P61626,1
81,DB05260,P31350,1
82,DB00820,P08684,1
83,DB03152,P08100,1
84,DB00477,P17405,1
85,DB01156,P11712,1
86,DB05390,P41231,1
87,DB01424,P10632,1
88,DB04216,P06576,1
89,DB00112,P31995,1
90,DB01365,P35368,1
91,DB00200,P22033,1
92,DB07020,P45984,1
93,DB06147,P11511,1
94,DB01095,P10635,1
95,DB00114,P34896,1
96,DB00439,P08684,1
97,DB05096,Q14832,1
98,DB06637,Q9UK17,1
99,DB03179,Q86VU5,1
100,DB06678,P28335,1
101,DB03757,Q9UNI1,1
102,DB00854,P35372,1
103,DB00338,P33261,1
104,DB08697,P00749,1
105,DB00945,Q04828,1
106,DB03033,P08254,1
107,DB07934,P00734,1
108,DB00622,P20813,1
109,DB00613,P10632,1
110,DB00934,P18089,1
111,DB07374,P61313,1
112,DB00169,P11473,1
113,DB07347,P04406,1
114,DB06866,P00734,1
115,DB05207,P14778,1
116,DB01403,P35462,1
117,DB04400,P00439,1
118,DB06858,P07477,1
119,DB00174,O43776,1
120,DB00155,P29475,1
121,DB06695,P54855,1
122,DB06678,P28223,1
123,DB00289,Q12879,1
124,DB01324,P55017,1
125,DB06944,P24941,1
126,DB05424,P00533,1
127,DB01026,P10632,1
128,DB01695,P60174,1
129,DB00852,P07550,1
130,DB00143,Q03013,1
131,DB00594,P19801,1
132,DB00157,O95182,1
133,DB07388,P29474,1
134,DB00670,P11229,1
135,DB01102,P13945,1
136,DB01207,P21731,1
137,DB00126,P19021,1
138,DB08846,P05771,1
139,DB00734,P35367,1
140,DB00824,Q07343,1
141,DB01954,Q08499,1
142,DB00661,O00305,1
143,DB04841,P11712,1
144,DB00268,P28221,1
145,DB09026,P00797,1
146,DB06216,P35367,1
147,DB01049,P78334,1
148,DB07390,P08254,1
149,DB00313,P10632,1
150,DB00086,P25116,1
151,DB04820,P27338,1
152,DB01622,P35348,1
153,DB01483,P14867,1
154,DB07701,P22303,1
155,DB00167,Q9NSE4,1
156,DB00157,P04035,1
157,DB09053,P08684,1
158,DB06069,P11387,1
159,DB07427,P69905,1
160,DB00598,P08588,1
161,DB01049,P46098,1
162,DB04574,P05177,1
163,DB02264,P05230,1
164,DB00825,Q8NET8,1
165,DB01029,P10632,1
166,DB01024,P22309,1
167,DB04836,P23975,1
168,DB03130,Q04760,1
169,DB06216,P18825,1
170,DB07621,P11509,1
171,DB00197,P54855,1
172,DB03101,P00491,1
173,DB03461,P11413,1
174,DB01151,P18089,1
175,DB06616,P08684,1
176,DB06931,O95749,1
177,DB04234,P43235,1
178,DB00075,P02747,1
