,Drug_ID,Protein_ID,label
0,DB07138,Q16539,1
1,DB01242,P23975,1
2,DB00186,P48169,1
3,DB00338,P10635,1
4,DB01151,P08913,1
5,DB01244,P05023,1
6,DB01996,P08254,1
7,DB04800,P18031,1
8,DB08352,Q16539,1
9,DB00163,P21266,1
10,DB00356,P08684,1
11,DB01589,P34903,1
12,DB01272,P20645,1
13,DB08846,Q14534,1
14,DB01151,P33261,1
15,DB00605,Q03181,1
16,DB08515,P49721,1
17,DB02401,P07195,1
18,DB01057,P06276,1
19,DB08814,Q9Y233,1
20,DB00945,P23219,1
21,DB01809,P07949,1
22,DB01352,Q16445,1
23,DB01708,Q14957,1
24,DB04058,P15085,1
25,DB00570,Q9UJT1,1
26,DB01355,P43681,1
27,DB00834,P24462,1
28,DB01708,Q9UN88,1
29,DB07124,P17612,1
30,DB08137,P24941,1
31,DB00143,P10768,1
32,DB00102,P16234,1
33,DB00188,P28070,1
34,DB01520,Q13224,1
35,DB08355,P24941,1
36,DB01252,P37231,1
37,DB01215,P18507,1
38,DB01221,P41145,1
39,DB00922,Q14432,1
40,DB00586,P04798,1
41,DB00243,P08684,1
42,DB00054,P12318,1
43,DB00051,P31994,1
44,DB05030,P35968,1
45,DB00231,P18507,1
46,DB00162,P00352,1
47,DB00988,P33261,1
48,DB00373,P08588,1
49,DB01223,P05177,1
50,DB04551,P30613,1
51,DB02056,P42330,1
52,DB08424,Q16539,1
53,DB05387,P08253,1
54,DB04405,P39900,1
55,DB04322,P11586,1
56,DB01698,P10632,1
57,DB01011,P11509,1
58,DB00005,P08637,1
59,DB00475,P48169,1
60,DB00939,O43526,1
61,DB00518,P04798,1
62,DB01587,O14764,1
63,DB04444,P30085,1
64,DB09068,P20815,1
65,DB03103,P15531,1
66,DB01381,P14867,1
67,DB01820,P18031,1
68,DB03461,Q16698,1
69,DB00836,P62158,1
70,DB08914,P06213,1
71,DB00116,P13995,1
72,DB01167,P20815,1
73,DB00328,Q9Y5Y4,1
74,DB00515,P02795,1
75,DB05079,P35367,1
76,DB08095,Q16539,1
77,DB05157,Q15759,1
78,DB02250,P61626,1
79,DB05260,P31350,1
80,DB00477,P17405,1
81,DB00721,Q15822,1
82,DB01156,P11712,1
83,DB00108,P02745,1
84,DB01424,P10632,1
85,DB04216,P06576,1
86,DB01224,P35462,1
87,DB01365,P35368,1
88,DB00200,P22033,1
89,DB04922,Q9NY47,1
90,DB07494,Q494W8,1
91,DB08385,O00519,1
92,DB00114,P34896,1
93,DB05096,Q14832,1
94,DB06637,Q9UK17,1
95,DB01085,P08172,1
96,DB03179,Q86VU5,1
97,DB06678,P28335,1
98,DB03757,Q9UNI1,1
99,DB00458,P23975,1
100,DB00945,Q04828,1
101,DB03033,P08254,1
102,DB00812,P35354,1
103,DB06871,P03372,1
104,DB07934,P00734,1
105,DB00622,P20813,1
106,DB02726,P14618,1
107,DB00182,P08588,1
108,DB00613,P10632,1
109,DB06605,P11712,1
110,DB07374,P61313,1
111,DB00575,P18089,1
112,DB06866,P00734,1
113,DB05207,P14778,1
114,DB06858,P07477,1
115,DB06695,P54855,1
116,DB06678,P28223,1
117,DB00289,Q12879,1
118,DB01324,P55017,1
119,DB06944,P24941,1
120,DB00114,Q9NVS9,1
121,DB00157,O75306,1
122,DB05424,P00533,1
123,DB01026,P10632,1
124,DB01695,P60174,1
125,DB00852,P07550,1
126,DB00143,Q03013,1
127,DB00594,P19801,1
128,DB07680,P23946,1
129,DB00157,O95182,1
130,DB01102,P13945,1
131,DB00126,P19021,1
132,DB00734,P35367,1
133,DB00683,P20815,1
134,DB01954,Q08499,1
135,DB00661,O00305,1
136,DB04841,P11712,1
137,DB00268,P28221,1
138,DB00659,Q14957,1
139,DB03760,Q15120,1
140,DB09026,P00797,1
141,DB06216,P35367,1
142,DB01018,P18089,1
143,DB00313,P10632,1
144,DB00411,Q15822,1
145,DB00200,Q9BXJ7,1
146,DB01622,P35348,1
147,DB01483,P14867,1
148,DB00167,Q9NSE4,1
149,DB00318,P24462,1
150,DB00157,P04035,1
151,DB00543,P18825,1
152,DB07427,P69905,1
153,DB00830,Q01959,1
154,DB01049,P46098,1
155,DB02494,P62829,1
156,DB02264,P05230,1
157,DB00825,Q8NET8,1
158,DB04006,P24941,1
159,DB06844,P20248,1
160,DB01029,P10632,1
161,DB01024,P22309,1
162,DB04836,P23975,1
163,DB03130,Q04760,1
164,DB06216,P18825,1
165,DB03461,P11413,1
166,DB06616,P08684,1
167,DB04234,P43235,1
168,DB00075,P02747,1
169,DB01548,O60858,1
170,DB07167,P07333,1
171,DB04604,Q8TF76,1
172,DB00540,P28223,1
173,DB07344,Q8IVS2,1
174,DB02796,P00491,1
175,DB01424,P24462,1
176,DB04369,P35030,1
177,DB05290,P25101,1
178,DB01643,P04818,1
179,DB00675,Q05655,1
180,DB03329,P07858,1
181,DB04534,P29474,1
182,DB02638,P47901,1
183,DB04920,Q13698,1
184,DB00729,P20309,1
185,DB09082,P08684,1
186,DB00153,Q02318,1
187,DB02400,P15559,1
188,DB03206,Q9UKM7,1
189,DB01049,P35348,1
190,DB04530,Q99418,1
191,DB00583,P23786,1
192,DB07987,P08254,1
193,DB00979,P06276,1
194,DB07375,P06310,1
195,DB06594,P05177,1
196,DB00195,P07550,1
197,DB02010,P48736,1
198,DB05107,P11413,1
199,DB04147,P01595,1
200,DB01171,P11712,1
201,DB00087,P02746,1
202,DB01496,P31644,1
203,DB00468,P33261,1
204,DB01142,P08684,1
205,DB01039,P08684,1
206,DB00025,P07307,1
207,DB00496,P11229,1
208,DB01834,P09211,1
209,DB03742,P03372,1
210,DB00945,Q9Y478,1
211,DB09078,P35916,1
212,DB00996,Q9NY47,1
213,DB00558,Q9Y3R4,1
214,DB03575,Q8TCU5,1
215,DB01196,P11137,1
216,DB00482,P35354,1
217,DB00961,Q9Y5Y9,1
218,DB00402,Q9UN88,1
219,DB01611,Q9NR96,1
220,DB04395,P78362,1
221,DB08896,P20813,1
222,DB03461,Q92506,1
223,DB01028,P34903,1
224,DB01588,P28476,1
225,DB07401,O14949,1
226,DB00518,Q71U36,1
227,DB02325,P01375,1
228,DB04464,P09669,1
229,DB08800,P35367,1
230,DB01873,P04350,1
231,DB00475,P14867,1
232,DB00599,Q13002,1
233,DB01392,P28335,1
234,DB04574,P08684,1
235,DB02901,P05108,1
236,DB05283,P05177,1
