,Protein1_ID,Protein2_ID,label
0,14,64782,1
1,27,9322,1
2,27,10152,1
3,33,7051,1
4,60,1073,1
5,60,11034,1
6,71,1072,1
7,71,10486,1
8,71,11034,1
9,81,51778,1
10,81,55017,1
11,81,84708,1
12,87,89,1
13,87,1965,1
14,87,9099,1
15,87,51778,1
16,87,55017,1
17,87,58529,1
18,87,79778,1
19,87,84708,1
20,88,11102,1
21,88,55216,1
22,88,79933,1
23,88,399693,1
24,88,440836,1
25,89,5096,1
26,89,5318,1
27,89,5753,1
28,89,6615,1
29,89,7185,1
30,89,8022,1
31,89,9099,1
32,89,9146,1
33,89,11281,1
34,89,58529,1
35,89,79778,1
36,89,79933,1
37,89,170954,1
38,89,440836,1
39,95,95,1
40,95,4521,1
41,104,104,1
42,104,6780,1
43,104,6895,1
44,104,23567,1
45,104,55922,1
46,104,79698,1
47,104,170082,1
48,104,391257,1
49,161,79719,1
50,162,7307,1
51,162,7918,1
52,162,9883,1
53,162,10667,1
54,162,53371,1
55,162,60314,1
56,162,63971,1
57,162,80352,1
58,162,155465,1
59,162,343930,1
60,163,1281,1
61,163,4292,1
62,163,9883,1
63,163,53371,1
64,163,56158,1
65,163,91694,1
66,163,399693,1
67,164,79719,1
68,166,705,1
69,166,1656,1
70,166,2354,1
71,166,2623,1
72,166,2997,1
73,166,3190,1
74,166,3215,1
75,166,3801,1
76,166,3886,1
77,166,4005,1
78,166,4089,1
79,166,4188,1
80,166,5252,1
81,166,5565,1
82,166,5892,1
83,166,6495,1
84,166,6911,1
85,166,6934,1
86,166,7185,1
87,166,7545,1
88,166,7681,1
89,166,7716,1
90,166,7726,1
91,166,8456,1
92,166,8812,1
93,166,9146,1
94,166,10152,1
95,166,10817,1
96,166,10922,1
97,166,10933,1
98,166,22806,1
99,166,22893,1
100,166,22924,1
101,166,25959,1
102,166,26003,1
103,166,26121,1
104,166,27158,1
105,166,30008,1
106,166,54764,1
107,166,55110,1
108,166,55138,1
109,166,55668,1
110,166,56344,1
111,166,58524,1
112,166,64098,1
113,166,64927,1
114,166,79005,1
115,166,79869,1
116,166,80256,1
117,166,84330,1
118,166,84619,1
119,166,84662,1
120,166,84766,1
121,166,84970,1
122,166,90933,1
123,166,92345,1
124,166,93986,1
125,166,114327,1
126,166,125115,1
127,166,146325,1
128,166,159195,1
129,166,167826,1
130,166,220359,1
131,166,283899,1
132,166,353323,1
133,166,375791,1
134,166,388677,1
135,189,2354,1
136,189,9404,1
137,189,9457,1
138,189,81851,1
139,190,2104,1
140,208,5966,1
141,208,9463,1
142,208,10174,1
143,208,57630,1
144,211,5493,1
145,211,6629,1
146,211,7728,1
147,211,10486,1
148,211,64147,1
149,211,142679,1
150,211,165918,1
151,211,201255,1
152,211,100287171,1
153,212,54971,1
154,218,55663,1
155,221,3885,1
156,221,81851,1
157,221,386683,1
158,226,226,1
159,240,4223,1
160,240,283459,1
161,250,3198,1
162,250,3846,1
163,250,7051,1
164,250,8601,1
165,250,54507,1
