,Protein1_ID,Protein2_ID,label
0,27,9322,1
1,27,10152,1
2,33,7051,1
3,60,11034,1
4,71,1072,1
5,71,1073,1
6,71,10486,1
7,81,51778,1
8,81,55017,1
9,87,89,1
10,87,1965,1
11,87,9099,1
12,87,9852,1
13,87,51778,1
14,87,55017,1
15,87,58529,1
16,87,79778,1
17,88,3351,1
18,88,6615,1
19,88,9099,1
20,88,26505,1
21,88,79778,1
22,88,79933,1
23,88,285093,1
24,88,440836,1
25,89,5096,1
26,89,5318,1
27,89,5753,1
28,89,6615,1
29,89,7185,1
30,89,9099,1
31,89,9146,1
32,89,9499,1
33,89,55138,1
34,89,58529,1
35,89,79778,1
36,89,79933,1
37,89,151254,1
38,89,246100,1
39,89,285093,1
40,95,95,1
41,95,4521,1
42,104,104,1
43,104,6780,1
44,104,6895,1
45,104,8575,1
46,104,23567,1
47,104,55922,1
48,104,79698,1
49,104,170082,1
50,104,391257,1
51,118,54955,1
52,152,4188,1
53,161,79719,1
54,162,4292,1
55,162,7307,1
56,162,7918,1
57,162,10667,1
58,162,26119,1
59,162,55633,1
60,162,60314,1
61,162,63971,1
62,162,79025,1
63,162,155465,1
64,162,170680,1
65,162,254187,1
66,162,343930,1
67,163,1281,1
68,163,7307,1
69,163,7918,1
70,163,9883,1
71,163,25959,1
72,163,91694,1
73,163,129807,1
74,163,399693,1
75,164,79719,1
76,166,1656,1
77,166,2354,1
78,166,2623,1
79,166,2801,1
80,166,3190,1
81,166,3215,1
82,166,3224,1
83,166,3225,1
84,166,3885,1
85,166,3886,1
86,166,4089,1
87,166,4188,1
88,166,4236,1
89,166,4665,1
90,166,5252,1
91,166,5565,1
92,166,6934,1
93,166,7185,1
94,166,7205,1
95,166,7681,1
96,166,7704,1
97,166,7716,1
98,166,7726,1
99,166,8022,1
100,166,8456,1
101,166,9533,1
102,166,10152,1
103,166,10262,1
104,166,10817,1
105,166,10933,1
106,166,22806,1
107,166,22893,1
108,166,22924,1
109,166,23281,1
110,166,23598,1
111,166,25959,1
112,166,26003,1
113,166,26121,1
114,166,27158,1
115,166,54764,1
116,166,55138,1
117,166,55337,1
118,166,55668,1
119,166,56344,1
120,166,58524,1
121,166,64098,1
122,166,79190,1
123,166,79444,1
124,166,79797,1
125,166,79869,1
126,166,80256,1
127,166,80742,1
128,166,84330,1
129,166,84662,1
130,166,90933,1
131,166,92345,1
132,166,93986,1
133,166,114327,1
134,166,153572,1
135,166,158787,1
136,166,167826,1
137,166,283899,1
138,166,353323,1
139,189,3885,1
140,189,4188,1
141,189,8688,1
142,189,9457,1
143,189,10278,1
144,189,83899,1
145,189,125115,1
146,189,375791,1
147,189,388677,1
148,190,2104,1
149,208,5966,1
150,208,9463,1
151,208,10174,1
152,208,57630,1
153,211,5493,1
154,211,9724,1
155,211,10486,1
156,211,84460,1
157,211,142679,1
158,211,150483,1
159,211,100287171,1
160,218,55663,1
161,221,81850,1
162,221,81851,1
163,226,226,1
164,230,23294,1
165,240,283459,1
166,250,3198,1
167,250,3846,1
168,250,4223,1
169,250,8601,1
170,250,50628,1
171,250,54544,1
172,250,81850,1
173,250,353135,1
174,250,386682,1
175,250,388677,1
176,270,270,1
177,270,271,1
178,271,271,1
179,273,5530,1
180,279,5626,1
181,288,4665,1
182,311,8880,1
183,321,158809,1
184,327,9798,1
185,329,640,1
186,329,842,1
187,329,862,1
188,329,5985,1
189,329,7186,1
190,329,23028,1
191,329,79571,1
192,329,654483,1
193,331,842,1
194,331,1163,1
195,331,5985,1
196,331,51027,1
197,331,84708,1
198,331,91694,1
199,331,152926,1
200,335,116173,1
201,336,117144,1
202,337,116173,1
203,347,9218,1
204,347,56947,1
205,353,54902,1
206,356,10484,1
207,356,66037,1
208,356,339834,1
209,356,375791,1
210,358,373,1
211,358,2735,1
212,358,2801,1
213,358,4188,1
214,358,5966,1
215,358,7205,1
216,358,7681,1
217,358,8688,1
218,358,10656,1
219,358,23371,1
220,358,23619,1
221,358,23641,1
222,358,57409,1
223,358,57786,1
224,358,81851,1
225,358,83755,1
226,358,83897,1
227,358,90933,1
228,358,154796,1
229,358,285622,1
230,358,375791,1
231,358,386684,1
232,358,388633,1
233,373,373,1
234,373,1039,1
235,373,1466,1
236,373,2669,1
237,373,7128,1
238,373,8270,1
239,373,8559,1
240,373,8629,1
241,373,8664,1
242,373,10811,1
243,373,23506,1
244,373,26985,1
245,373,27132,1
246,373,29979,1
247,373,55633,1
248,373,80125,1
249,373,80308,1
250,373,83541,1
251,373,83640,1
252,373,84914,1
253,373,140885,1
254,373,143884,1
255,373,146705,1
256,373,147687,1
257,373,152206,1
258,373,253827,1
259,374,386681,1
260,377,84708,1
261,381,91703,1
262,387,6938,1
263,387,140876,1
264,392,6455,1
265,398,5626,1
266,398,10460,1
267,402,5147,1
268,402,9094,1
269,403,5147,1
270,406,4862,1
271,408,5626,1
272,408,27232,1
273,410,9319,1
274,429,29978,1
275,432,3488,1
276,435,435,1
277,435,10612,1
278,435,55093,1
279,435,79892,1
280,439,444,1
281,440,140691,1
282,443,91703,1
283,444,5542,1
284,444,30818,1
285,444,123264,1
286,463,2801,1
287,463,5451,1
288,463,6867,1
289,463,10464,1
290,463,11281,1
291,463,23281,1
292,463,23384,1
293,463,57159,1
294,463,80258,1
295,463,80321,1
296,463,83878,1
297,463,84823,1
298,468,2874,1
299,468,8419,1
300,468,8945,1
301,468,10403,1
302,468,29903,1
303,468,51134,1
304,468,89958,1
305,468,123283,1
306,468,390535,1
307,475,64168,1
308,480,246100,1
309,509,4223,1
310,513,4188,1
311,513,375791,1
312,513,388677,1
313,527,85027,1
314,527,199675,1
315,527,388512,1
316,539,2801,1
317,539,64753,1
318,539,80321,1
319,574,4223,1
320,578,597,1
321,578,598,1
322,578,599,1
323,578,4170,1
324,579,11281,1
325,580,9135,1
326,580,11077,1
327,580,23281,1
328,580,23641,1
329,580,64753,1
330,581,11077,1
331,596,638,1
332,597,638,1
333,599,638,1
334,604,2801,1
335,604,4848,1
336,604,5966,1
337,604,7186,1
338,604,79983,1
339,604,140258,1
340,605,10513,1
341,631,8419,1
342,631,342574,1
343,640,5295,1
344,640,6774,1
345,640,8087,1
346,640,8503,1
347,640,9021,1
348,640,9513,1
349,640,11043,1
350,640,22806,1
351,642,642,1
352,642,23534,1
353,642,25796,1
354,642,91107,1
355,655,5987,1
356,655,202243,1
357,655,202559,1
358,655,375791,1
359,655,386681,1
360,660,11099,1
361,664,664,1
362,664,665,1
363,664,3895,1
364,664,7851,1
365,664,8834,1
366,664,56475,1
367,664,64102,1
368,664,89885,1
369,664,123920,1
370,664,219738,1
371,664,388633,1
372,665,8834,1
373,665,23710,1
374,689,5626,1
375,699,10425,1
376,705,3104,1
377,705,4591,1
378,705,5706,1
379,705,5987,1
380,705,6293,1
381,705,7186,1
382,705,8022,1
383,705,8087,1
384,705,8161,1
385,705,8553,1
386,705,10318,1
387,705,10320,1
388,705,10521,1
389,705,10687,1
390,705,10810,1
391,705,11077,1
392,705,11178,1
393,705,22806,1
394,705,23149,1
395,705,23608,1
396,705,24144,1
397,705,29127,1
398,705,55145,1
399,705,57159,1
400,705,57594,1
401,705,64395,1
402,705,79720,1
403,705,84056,1
404,705,84456,1
405,705,89857,1
406,705,114932,1
407,705,115704,1
408,705,254958,1
409,705,386682,1
410,705,653121,1
411,713,29978,1
412,714,29978,1
413,718,3881,1
414,718,30008,1
415,727,11281,1
416,744,9688,1
417,744,29911,1
418,744,55697,1
419,746,29979,1
420,750,25894,1
421,750,54507,1
422,755,51324,1
423,779,5966,1
424,780,29978,1
425,783,1488,1
426,783,124790,1
427,784,1488,1
428,784,6499,1
429,784,23281,1
430,784,79959,1
431,785,1488,1
432,785,23299,1
433,785,57511,1
434,786,9218,1
435,801,9657,1
436,805,23125,1
437,805,23216,1
438,805,23288,1
439,805,80726,1
440,805,84223,1
441,805,160140,1
442,808,23216,1
443,808,80726,1
444,808,160140,1
445,815,816,1
446,815,817,1
447,815,818,1
448,815,6660,1
449,815,6821,1
450,815,7407,1
451,815,8372,1
452,815,9119,1
453,815,9747,1
454,815,9802,1
455,815,10865,1
456,815,11030,1
457,815,11140,1
458,815,23118,1
459,815,23201,1
460,815,23543,1
461,815,27033,1
462,815,55093,1
463,815,65003,1
464,815,83741,1
465,815,84528,1
466,815,84970,1
467,815,90121,1
468,815,91875,1
469,815,114823,1
470,815,130074,1
471,815,138046,1
472,815,200523,1
473,815,254950,1
474,815,337879,1
475,815,337968,1
476,815,337972,1
477,816,816,1
478,816,817,1
479,816,818,1
480,816,5912,1
481,816,10623,1
482,816,10933,1
483,816,11284,1
484,816,23534,1
485,816,64118,1
486,816,65003,1
487,816,81851,1
488,816,337967,1
489,816,337968,1
490,816,337970,1
491,817,818,1
492,817,23534,1
493,817,91875,1
494,817,391257,1
495,818,10204,1
496,818,91875,1
497,818,337968,1
498,825,55093,1
499,835,835,1
500,839,55093,1
501,839,84708,1
502,840,4110,1
503,840,6303,1
504,840,60491,1
505,842,5626,1
506,861,9146,1
507,861,9530,1
508,861,9531,1
509,861,84807,1
510,861,115290,1
511,862,3212,1
512,862,4223,1
513,862,5575,1
514,862,5626,1
515,862,8022,1
516,862,8697,1
517,862,9063,1
518,862,9404,1
519,862,9454,1
520,862,10174,1
521,862,24144,1
522,862,51225,1
523,862,57048,1
524,862,57159,1
525,862,57511,1
526,862,63978,1
527,862,64333,1
528,862,79869,1
529,862,159989,1
530,862,645455,1
531,863,5300,1
532,863,9139,1
533,863,9852,1
534,863,54815,1
535,863,55048,1
536,863,84816,1
537,863,92999,1
538,864,865,1
539,864,83606,1
540,868,5753,1
541,868,7525,1
542,868,8470,1
543,868,26003,1
544,868,26578,1
545,874,6386,1
546,874,23299,1
547,885,29978,1
548,892,3868,1
549,892,3885,1
550,892,4223,1
551,892,29946,1
552,894,1026,1
553,896,1019,1
554,896,1020,1
555,896,1021,1
556,896,1026,1
557,900,202243,1
558,902,10174,1
559,946,5080,1
560,972,56159,1
561,973,89885,1
