,Drug1_ID,Drug2_ID,label
0,DB00862,DB00966,1
1,DB01242,DB08893,1
2,DB01151,DB08883,1
3,DB00018,DB00333,1
4,DB00201,DB01609,1
5,DB00712,DB01418,1
6,DB01576,DB04842,1
7,DB00382,DB06153,1
8,DB01017,DB01142,1
9,DB00214,DB01174,1
10,DB00569,DB01109,1
11,DB01222,DB09063,1
12,DB00762,DB09054,1
13,DB00780,DB01158,1
14,DB00186,DB09071,1
15,DB00484,DB00881,1
16,DB00396,DB00682,1
17,DB00368,DB01551,1
18,DB00054,DB00605,1
19,DB01167,DB01320,1
20,DB00921,DB09272,1
21,DB01242,DB09042,1
22,DB00041,DB00381,1
23,DB00072,DB00305,1
24,DB01100,DB06201,1
25,DB08883,DB09072,1
26,DB00211,DB00316,1
27,DB00997,DB04905,1
28,DB00177,DB09401,1
29,DB00623,DB00656,1
30,DB00104,DB08881,1
31,DB00675,DB05812,1
32,DB00401,DB09059,1
33,DB00625,DB00956,1
34,DB00624,DB00834,1
35,DB00070,DB01222,1
36,DB01104,DB01296,1
37,DB00443,DB00672,1
38,DB01207,DB06228,1
39,DB00618,DB09146,1
40,DB00252,DB01182,1
41,DB01166,DB06636,1
42,DB00108,DB01234,1
43,DB09118,DB09128,1
44,DB00413,DB00972,1
45,DB00503,DB00758,1
46,DB00126,DB00717,1
47,DB00243,DB08889,1
48,DB00503,DB00813,1
49,DB01151,DB09072,1
50,DB00238,DB01319,1
51,DB00182,DB00816,1
52,DB00328,DB04272,1
53,DB00257,DB01100,1
54,DB00715,DB01268,1
55,DB01201,DB09068,1
56,DB00418,DB01054,1
57,DB01233,DB01238,1
58,DB00204,DB00887,1
59,DB04855,DB09053,1
60,DB00482,DB06779,1
61,DB00501,DB01142,1
62,DB00046,DB00957,1
63,DB00366,DB00470,1
64,DB00816,DB00871,1
65,DB00542,DB09282,1
66,DB00959,DB08873,1
67,DB01224,DB04876,1
68,DB06480,DB09123,1
69,DB00193,DB05521,1
70,DB00623,DB09076,1
71,DB01029,DB08935,1
72,DB00864,DB01320,1
73,DB00252,DB01026,1
74,DB00628,DB00653,1
75,DB04905,DB08931,1
76,DB00420,DB00934,1
77,DB00451,DB09407,1
78,DB00864,DB00991,1
79,DB00960,DB01119,1
80,DB00737,DB06204,1
81,DB00195,DB00237,1
82,DB00401,DB00648,1
83,DB01323,DB06789,1
84,DB00273,DB06282,1
85,DB01223,DB01558,1
86,DB00802,DB01021,1
87,DB00284,DB01208,1
88,DB00673,DB08912,1
89,DB01038,DB01577,1
90,DB00310,DB00391,1
91,DB00898,DB01100,1
92,DB00334,DB01553,1
93,DB00912,DB01403,1
94,DB00571,DB08881,1
95,DB00054,DB01395,1
96,DB00232,DB00237,1
97,DB00657,DB01145,1
98,DB00031,DB06779,1
99,DB00508,DB00514,1
100,DB00834,DB01115,1
101,DB00796,DB01119,1
102,DB00752,DB01276,1
103,DB01418,DB08816,1
104,DB00820,DB00999,1
105,DB00196,DB00338,1
106,DB00619,DB04905,1
107,DB00794,DB00921,1
108,DB01174,DB08864,1
109,DB06287,DB09054,1
110,DB00880,DB01016,1
111,DB00688,DB08795,1
112,DB00569,DB08976,1
113,DB00752,DB00937,1
114,DB00682,DB06695,1
115,DB00343,DB00794,1
116,DB00390,DB00500,1
117,DB00864,DB08916,1
118,DB00409,DB06684,1
119,DB00611,DB00972,1
120,DB00706,DB01012,1
121,DB06153,DB08897,1
